store_id,month,deliveryTracked,deliveryLate,deliveryTime
8392,2012-04-28,334,153,21743
8125,2012-06-28,899,180,37149
8330,2012-03-29,164,70,8264
8140,2012-04-28,966,86,38375
9126,2012-04-28,0,0,0
8097,2012-06-28,1652,1009,123076
8140,2012-05-29,912,118,39393
8681,2012-06-28,45,13,2200
8078,2012-04-28,2222,1039,132300
9007,2012-06-28,226,24,9833
8167,2012-03-29,1139,240,51075
8349,2012-04-28,826,429,56508
9020,2012-05-29,1822,280,69649
8975,2012-05-29,10521,1476,470394
7438,2012-04-28,0,0,0
8978,2012-03-29,1090,226,46647
8777,2012-05-29,445,178,28719
7974,2012-04-28,1925,623,101857
8310,2012-04-28,1017,186,43942
8430,2012-04-28,48,8,1495
8912,2012-04-28,0,0,0
9006,2012-04-28,86,59,7214
8362,2012-05-29,0,0,0
9003,2012-05-29,1339,237,55701
8134,2012-04-28,469,24,17428
8145,2012-05-29,653,35,17506
8136,2012-06-28,3628,2181,282835
9011,2012-05-29,0,0,0
8939,2012-03-29,118,40,7927
8350,2012-04-28,2192,834,116405
8216,2012-04-28,361,186,21843
9005,2012-04-28,102,8,3858
8027,2012-03-29,2019,675,106563
8026,2012-05-29,1776,839,110060
8920,2012-06-28,21,0,610
8775,2012-06-28,0,0,0
8325,2012-04-28,37,37,3277
8765,2012-03-29,108,18,5127
8870,2012-03-29,758,59,22779
8943,2012-04-28,928,383,56424
8166,2012-03-29,8,5,1017
7981,2012-04-28,151,43,8108
8472,2012-06-28,1968,1090,133668
8911,2012-04-28,0,0,0
8473,2012-06-28,1549,901,117641
8842,2012-03-29,0,0,0
8704,2012-06-28,953,229,40267
8873,2012-03-29,64,27,4276
7837,2012-03-29,3134,864,143883
8987,2012-03-29,1485,56,43421
8374,2012-03-29,864,172,42619
9052,2012-03-29,267,18,9525
8910,2012-06-28,256,48,10689
8316,2012-03-29,972,62,29802
9012,2012-04-28,124,13,4074
8739,2012-05-29,315,153,18856
8681,2012-04-28,51,10,1865
8153,2012-03-29,62,10,3005
8832,2012-05-29,421,167,26584
8124,2012-05-29,418,359,34767
8765,2012-06-28,0,0,0
8569,2012-03-29,396,302,40505
7117,2012-06-28,3990,3866,422142
8814,2012-06-28,688,83,25614
8591,2012-05-29,54,24,4074
8383,2012-06-28,367,105,19477
8278,2012-05-29,1779,383,74841
8012,2012-05-29,5364,575,179131
8981,2012-03-29,756,32,23762
8555,2012-03-29,54,21,3523
8080,2012-05-29,6801,3183,414890
8993,2012-06-28,450,140,21308
8557,2012-04-28,67,37,4579
9028,2012-03-29,391,202,24961
8040,2012-03-29,3159,461,125180
8434,2012-06-28,67,40,5656
8152,2012-06-28,0,0,0
9025,2012-04-28,456,72,18459
8659,2012-05-29,48,13,2559
8915,2012-03-29,178,2,5173
8698,2012-06-28,2313,1495,166414
8296,2012-06-28,0,0,0
8777,2012-04-28,380,148,20636
8553,2012-05-29,234,2,7657
8396,2012-05-29,1398,818,98215
8115,2012-03-29,4260,329,158217
9109,2012-04-28,0,0,0
8740,2012-05-29,1333,823,94591
8819,2012-04-28,788,380,55082
8567,2012-03-29,332,99,16291
8374,2012-06-28,958,248,48103
8118,2012-06-28,499,286,36587
8075,2012-04-28,542,267,31924
8386,2012-04-28,437,369,46348
8108,2012-05-29,653,59,21262
8326,2012-06-28,4311,126,110359
8076,2012-06-28,1922,812,110160
8487,2012-04-28,702,280,42198
8051,2012-03-29,1217,496,75327
8602,2012-05-29,54,24,3915
8988,2012-05-29,685,475,47609
8929,2012-04-28,40,0,1344
8223,2012-03-29,140,62,6671
9109,2012-06-28,391,151,21103
8431,2012-03-29,540,135,24526
8979,2012-04-28,488,21,13373
